faculty,institution
"Grant, Kerry;University of California, Berkeley;1977",University at Buffalo
"Grant, Stephen K.;Clark University;1974",Massachusetts College of Liberal Arts
"Grass, R. Gail;Harvard University;1989",Jackson State University
"Grasty, William J.;University of Florida;1967",Middle Tennessee State University
"Gray, Jack C.;Ohio State University;1963",Michigan State University
"Gray, Phil;University of New South Wales;2000",University of Queensland
"Grayson, Richard;University of Georgia;2001",University of Georgia
"Greckel, Fay E.;Indiana University;1969",Indiana University Southeast
"Greco, Joseph A.;New York University;1972",Montclair State University
"Greco, Joseph;University of California, Berkeley;1995","California State University, Fullerton"
"Green, G. Hayden;University of Arkansas;1974","University of Alaska, Anchorage"
"Green, G. Hayden;University of Arkansas;1975","University of Alaska, Anchorage"
"Green, G. Hayden;University of Arkansas;1976","University of Alaska, Anchorage"
"Green, Gregory G.;Temple University;1997",Idaho State University
"Green, John Kevin;University of Virginia;1969",Washington & Lee University
"Green, John L.;University of Houston;1977",Houston Baptist University
"Green, John W.;University of Pennsylvania;1976",University of Northern Colorado
"Green, Kenneth;University of Manchester",University of Manchester
"Green, Richard;Saint Louis University;1999",Saint Louis University
"Green-Weishaupt, Carole A.;University of Illinois;1982",University of South Florida
"Greenfield, Gail;Claremont McKenna College;1997",College of Wooster
"Greenlees, E. Malcolm;University of Washington;1972",Linfield College
"Greenley, Douglas A.;Colorado State University;1979",Minnesota State University Moorhead
"Greenwade, George D.;Texas Tech University;1988",Sam Houston University
"Greer, Martin;University of Illinois",Fairleigh Dickinson University
"Greer, Olen L.;University of Colorado;1986",Missouri State University
"Gregg, Matthew;University of Georgia;2003",Grinnell College
"Gregiore, P.;University of Western Ontario",Lakehead University
"Gregor, John J.;Pennsylvania State University;1976",Washington & Jefferson College
"Gregory, Owen K.;Case Western Reserve University;1973","University of Illinois, Chicago"
"Gregory, Richard;Old Dominion University;1996","University of South Carolina, Spartanburg"
"Gregory, Sadie R.;Howard University;1987",Virginia State University
"Grenier, Bob;Nova Southeastern University;2000",Augustana College
"Grenols, Earl;Massachusetts Institute of Technology;1977",Baylor University
"Greubel, Robert T.;University of Arkansas;1972",Northeastern State University
"Greynolds, Elbert B.;Georgia State University;1971",Southern Methodist University
"Grider, Douglas T. Jr.;Georgia State University;1972",Lander University
"Grider, Douglas T.;Georgia State University;1972",Lander University
"Grider, Douglas;Georgia State University;1972",Lander University
"Griffieth, Rodger;University of South Carolina;1981",Georgia State University
"Griffin, C. Ramon;Georgia State University;1979",Metropolitan State University of Denver
"Griffin, Harry;University of Alabama;1996",University of Montevallo
"Griffin, Jenifer;Boston University;1997",George Washington University
"Griffin, Lynn K.;University of South Carolina;1986",North Carolina A&T State University
"Griffin, Richard B.;University of Mississippi;1979","University of Tennessee, Martin"
"Griffiths, L. Christopher;University of Colorado;1970",Colorado College
"Griggs, Jack A.;University of Texas at Austin;1971",Abilene Christian University
"Grim, Charles L.;Purdue University;1990",College of Wooster
"Grise, Jacques;University of Western Ontario;1973",Universite Laval
"Grites, Thomas J.;University of Maryland, College Park;1974",Stockton University
"Grobey, John H.;University of Washington;1975",Humboldt State University
"Grobsmith, Elizabeth",University of Colorado Colorado Springs
"Groesbeck, John D.;Utah State University;1993",Southern Utah University
"Groner, Michael I.;University of Illinois;1977",Roosevelt University
"Gropp, Jeffrey;West Virginia University;2000",DePauw University
"Grossbeck, John;Utah State University",Eastern New Mexico University
"Grossman, Leroy J.;Vanderbilt University;1963",Saint Louis University
"Grossman, Orin L.;Yale University;1975",Fairfield University
"Grout, P. D.;University of Essex",University of Bristol
"Grubb, Todd C.;University of Louisville;1988","Troy University, Florida Region"
"Grubbs, M. Ray;University of Mississippi;1987",Millsaps College
"Gruenfeld, Deb;University of Illinois;1993",Northwestern University
"Grunloh, James J.;Washington University in St. Louis;1979","University of Wisconsin, Oshkosh"
"Guarino, John;Syracuse University;1991",Shenandoah University
"Guenerol, Federico;University of Maryland, College Park;2002","University of Nevada, Reno"
"Guffey, W. Robert;Virginia Polytechnic Institute and State University;1992",Elon University
"Guha, Gauri-Shankar",Arkansas State University
"Guha, Gauri-Shankar;Pennsylvania State University;2002",Arkansas State University
"Guhde, Lynn;Kent State University;1991",Slippery Rock University
"Guilfoil, John D.;New York University;1964",New York University
"Guilfoll, John D.;New York University;1964",New York University
"Guiliano, Laura;University of California, Berkeley;2003",University of Miami
"Guinn, Robert E.;University of Alabama;1973","University of North Carolina, Charlotte"
"Guithues, Henry J.;Saint Louis University;1964",Saint Louis University
"Guithues-Amrhein, Denise M.;Saint Louis University;1983",Saint Louis University
"Gulati, Devendra;Syracuse University;1991",The College of New Jersey
"Gulla, Darrin V.;University of Georgia;2005",Berry College
"Gulley, Lawrence;Texas A&M University;1986",Dillard University
"Gulyas, Erika;University of Washington;2006",Trinity University
"Gummerson, A.;University of Wisconsin, Madison;1971",Florida International University
"Gummerson, Alan;University of Wisconsin, Madison;1971",Florida International University
"Gumpper, Michael R.;University of Kentucky;1997",Millersville University
"Gunderson, Elizabeth W.;Union College;1991",Hamline University
"Gunderson, Elizabeth W.;Union Institute & University;1991",Hamline University
"Gunn, Gerry;Colorado State University",Central Washington University
"Gunn, Sanford C.;Ohio State University;1977",University at Buffalo
"Gunser, Roxane;University of Oklahoma;1996","University of Wisconsin, Platteville"
"Guo, Hong-tao;University of Illinois;2002","CUNY, Baruch College"
"Guo, Wendy;University of Missouri;1999",University of Nebraska at Omaha
"Gupta, Ashis;Boston University;1978",University of Calgary
"Gupta, Raj;University of Rochester;1974",Memorial University of Newfoundland
"Gupta, Rameshwar D.;University of Arkansas;1984",Jackson State University
"Gupta, Rupayan;2005","California State University, Bakersfield"
"Gupta, Satya P.;Southern Illinois University;1975",Augsburg University
"Gupta, Vipul;University of Houston;1995",St. Joseph's University
"Gurka, Geoffrey J.;Michigan State University;1992",Southern Connecticut State University
"Gurley, A. Lee;University of Mississippi;1996",Auburn University at Montgomery
"Gurley, Darryl E. J.;University of Colorado;1992",Florida A&M University
"Gurtunca, Esen Z.;Purdue University;1973",University of Indianapolis
"Gurtunca, Esen;Purdue University;1973",University of Indianapolis
"Gurtunca, Esen;University of Kentucky;1970",University of Indianapolis
"Gustafson, Curtis O.;University of South Dakota;1986",South Dakota State University
"Gustafson, Leland Verne;Florida State University;1974",University of West Georgia
"Gustafson, Lyal;Georgia State University;1989","University of Wisconsin, Whitewater"
"Gustafson, Nancy;Arizona State University;2000",Michigan State University
"Gutowsky, Albert R.;University of Oregon;1965","California State University, Sacramento"
"Guttikonda, Rama R.;University of Arkansas;1984","Troy State University, Dothan"
"Guydosh, Ray;Carnegie Mellon University;1974",SUNY Plattsburgh
"Guynn, Richard Dickson;University of Alabama;1971",University of West Georgia
"Guzell, Stanley;University of Pittsburgh;1980",Youngstown State University
"Gwinn, Lawrence;University of Kansas;1983",Wittenberg University
"Habegger, Wendy D.;Florida State University;2004",University of West Florida
"Haber, F. Barry;Arizona State University;1973",Fayetteville State University
"Habib, Abo-El-Yazeed;University of North Texas;1983","Minnesota State University, Mankato"
"Haddock, Jorge;Purdue University;1981",University of Richmond
"Hadjimichalakis, Karma;University of Rochester;1974",University of Washington
"Hadjimichalakis, Michael;University of Rochester;1969",University of Washington
"Hadley, Galen D.;University of Nebraska;1975",University of Nebraska at Kearney
"Hafer, Gail;Southern Illinois University;1987",Lindenwood University
"Hagtvedt, Ray;Georgia State University;1999",University of Georgia
"Hahn, Youngki;University of California, Riverside;1971","University of Hawaii, Hilo"
"Haider, Don;Columbia University",Northwestern University
"Hailu, Yohannes;West Virginia University",West Liberty University
"Haj, Mahmound;University of New Orleans;2000",Grambling State University
"Hajizadeh, Avaz;Rensselaer Polytechnic Institute;1985",Massachusetts College of Liberal Arts
"Halatin, Theodore J.;Texas Tech University;1973",Texas State University
"Halil, Kiymaz;University of New Orleans;1994","University of Houston, Clear Lake"
"Hall, Frank D.;University of Arkansas;1974","University of Arkansas, Little Rock"
"Hall, Jack O.;University of Missouri;1973",Western Kentucky University
"Hall, William M.;Syracuse University",Alfred University
"Hall, Yvonne C.;Colorado State University;1981",Southern New Hampshire University
"Hallack, Juan Carlos;Harvard University;2002",University of Michigan
"Hallam, Stephen F.;University of Iowa;1973",University of Akron
"Hallam, Stephen F.;University of Iowa;1974",University of Akron
"Hally, Desmond L.;Dublin University;1971",University College Dublin
"Halperin, Robert M.;University of Pennsylvania;1977",University of Illinois
"Halstead, James F.;Stanford University;1972",Occidental College
"Halsted, John M.;University of Connecticut;2001",Southern Connecticut State University
"Halvorsen, Marcia L.;Georgia State University;1978",University of Redlands
"Halvorson, Jon;University of Alabama;2000",Stephen F. Austin State University
"Hambleton, John W.;University of Wisconsin, Madison;1971",San Diego State University
"Hamburger, Charles;University of Southern California;1965","California State University, Long Beach"
"Hamby, William L.;University of Alabama;1992",Saint Mary's University
"Hamilton, Charles T.;University of Illinois;1987",Illinois Institute of Technology
"Hamilton, Ralph (Bud);University of Georgia;1997",Georgia State University
"Hamilton, Tom;University of Wisconsin, Madison;1997",Indiana State University
"Hamm, Jeffrey L.;Texas Tech University;1995",Middle Tennessee State University
"Hammerbacher, Irene M.;New York University;1969",Iona College
"Hammond, John;Massachusetts Institute of Technology;1999",Emory University
"Hamre, James C.;University of Wisconsin, Madison;1971","University of Wisconsin, Madison"
"Hamwi, Iskandar;University of Pennsylvania;1969",University of Southern Mississippi
"Han, Dongwook;Michigan State University;1999",Central Michigan University
"Han, Jin-Soo;Indiana University;1986",Dongguk University
"Hancock, D'Anne Gorum;University of New Orleans;1987",University of Missouri-St. Louis
"Handley, W. Bruce;Arizona State University;1972",Weber State University
"Hanizavareh, Seyed;University of Texas at Austin","California State University, Fullerton"
"Hanna, Raouf S.;Indiana University;1973",Eastern Michigan University
"Hanner, Mary Anne;Indiana State University;1981",Eastern Illinois University
